48,,Jiri Vesely,CZE,938,-7,Prostejov SF,Lost in Roland Garros R128,968,1018,,Thu Jun  4 18:29:22 2015
49,,Sergiy Stakhovsky,UKR,929,+5,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
50,,Jerzy Janowicz,POL,895,-,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
51,,Steve Johnson,USA,895,+5,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
52,,Vasek Pospisil,CAN,895,+1,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
53,,Gilles Muller,LUX,880,+2,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
54,,Pablo Carreno Busta,ESP,860,+7,-,Lost in Roland Garros R64Lost in Prostejov R32,-,-,,Thu Jun  4 18:29:22 2015
55,,Andreas Haider Maurer,AUT,857,-4,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
56,,Simone Bolelli,ITA,846,+4,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
57,,Donald Young,USA,830,-5,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
58,,Teymuraz Gabashvili,RUS,812,+16,-,Lost in Roland Garros R16,-,-,,Thu Jun  4 18:29:22 2015
59,,Mikhail Kukushkin,KAZ,802,-1,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
60,,Santiago Giraldo,COL,790,+4,-,Lost in Roland Garros R64Lost in Prostejov R16,-,-,,Thu Jun  4 18:29:22 2015
61,,Yen Hsun Lu,TPE,789,+4,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
62,,Marcos Baghdatis,CYP,787,-3,Manchester R16,Lost in Roland Garros R64,795,860,,Thu Jun  4 18:29:22 2015
63,,Albert Ramos Vinolas,ESP,780,-,Furth QF,Lost in Roland Garros R128,793,850,,Thu Jun  4 18:29:22 2015
64,,Daniel Gimeno Traver,ESP,763,+2,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
65,,Diego Schwartzman,ARG,760,-3,-,Lost in Roland Garros R64,-,-,,Thu Jun  4 18:29:22 2015
66,,Benoit Paire,FRA,743,+5,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
67,,Marcel Granollers,ESP,715,-10,Prostejov QF,Lost in Roland Garros R64,735,815,,Thu Jun  4 18:29:22 2015
68,,Thanasi Kokkinakis,AUS,693,+16,-,Lost in Roland Garros R32,-,-,,Thu Jun  4 18:29:22 2015
69,,Mikhail Youzhny,RUS,685,-1,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
70,,Sam Groth,AUS,685,+2,Manchester R16,Lost in Roland Garros R128,688,753,,Thu Jun  4 18:29:22 2015
71,,Tim Smyczek,USA,682,+2,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
72,,Aljaz Bedene,GBR,678,+3,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
73,,Hyeon Chung,KOR,676,-3,-,-,-,-,,Thu Jun  4 18:29:22 2015
74,,Alexandr Dolgopolov,UKR,670,-5,-,Lost in Roland Garros R128,-,-,,Thu Jun  4 18:29:22 2015
75,,Joao Souza,BRA,667,+3,Prostejov QF,Lost in Roland Garros R128,687,767,,Thu Jun  4 18:29:22 2015
