53,,Steve Johnson,USA,870,-2,-,-,-,-,,Thu Jun 11 00:00:09 2015
54,,Andreas Haider Maurer,AUT,857,+1,-,Lost in Stuttgart R16,-,-,,Thu Jun 11 00:00:09 2015
55,,Simone Bolelli,ITA,846,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
56,,Donald Young,USA,830,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
57,,Teymuraz Gabashvili,RUS,809,+1,Moscow QF,-,825,882,,Thu Jun 11 00:00:09 2015
58,,Mikhail Kukushkin,KAZ,802,+1,-,Lost in Stuttgart R32,-,-,,Thu Jun 11 00:00:09 2015
59,,Marcos Baghdatis,CYP,797,+4,Stuttgart R16,-,822,1027,,Thu Jun 11 00:00:09 2015
60,,Albert Ramos Vinolas,ESP,793,-,Caltanissetta R16,-,798,898,,Thu Jun 11 00:00:09 2015
61,,Santiago Giraldo,COL,790,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
62,,Yen Hsun Lu,TPE,764,-,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
63,,Daniel Gimeno Traver,ESP,763,+1,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
64,,Diego Schwartzman,ARG,760,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
65,,Pablo Carreno Busta,ESP,745,-11,-,-,-,-,,Thu Jun 11 00:00:09 2015
66,,Benoit Paire,FRA,743,+1,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
67,,Sam Groth,AUS,743,-1,Stuttgart QF,-,788,948,,Thu Jun 11 00:00:09 2015
68,,Marcel Granollers,ESP,715,-,Moscow QF,-,723,780,,Thu Jun 11 00:00:09 2015
69,,Thanasi Kokkinakis,AUS,693,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
70,,Mikhail Youzhny,RUS,685,+1,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
71,,Tim Smyczek,USA,682,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
72,,Aljaz Bedene,GBR,678,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
73,,Steve Darcis,BEL,664,+3,-,-,-,-,,Thu Jun 11 00:00:09 2015
74,,Hyeon Chung,KOR,661,-,-,Lost in Qualification 's-Hertogenbosch R1,-,-,,Thu Jun 11 00:00:09 2015
75,,Joao Souza,BRA,650,-5,-,Lost in Prague R32,-,-,,Thu Jun 11 00:00:09 2015
76,,Marsel Ilhan,TUR,647,+2,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
77,,Alexandr Dolgopolov,UKR,645,-2,-,Lost in Stuttgart R32,-,-,,Thu Jun 11 00:00:09 2015
78,,Robin Haase,NED,636,+5,'s-Hertogenbosch QF,-,681,841,,Thu Jun 11 00:00:09 2015
79,,Federico Delbonis,ARG,627,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
80,,Alexander Zverev,GER,624,+4,-,Lost in Stuttgart R16,-,-,,Thu Jun 11 00:00:09 2015
81,,Malek Jaziri,TUN,620,-1,-,-,-,-,,Thu Jun 11 00:00:09 2015
82,,Denis Istomin,UZB,620,-1,-,Lost in 's-Hertogenbosch R32,-,-,,Thu Jun 11 00:00:09 2015
83,,Dusan Lajovic,SRB,615,-1,-,-,-,-,,Thu Jun 11 00:00:09 2015
84,,Dudi Sela,ISR,607,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
85,,Ernests Gulbis,LAT,600,+2,-,-,-,-,,Thu Jun 11 00:00:09 2015
86,,James Duckworth,AUS,594,-,-,-,-,-,,Thu Jun 11 00:00:09 2015
87,,Paolo Lorenzi,ITA,588,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
88,,Damir Dzumhur,BIH,584,+1,Moscow R16,-,593,666,,Thu Jun 11 00:00:09 2015
89,,Go Soeda,JPN,575,+1,-,-,-,-,,Thu Jun 11 00:00:09 2015
90,,Nicolas Mahut,FRA,571,+7,'s-Hertogenbosch R16,Qualification 's-Hertogenbosch W,596,801,,Thu Jun 11 00:00:09 2015
