Data,Round,Civility,Player1 (Player1 / Player2),Player2 (Player3 / Player4),Sets,Tournment,Clay,1st SERVE % P1,1st SERVE % P2,1st SERVE POINTS WON P1,1st SERVE POINTS WON P2,2nd SERVE POINTS WON P1,2nd SERVE POINTS WON P2,BREAK POINTS WON P1,BREAK POINTS WON P2,TOTAL RETURN POINTS WON P1,TOTAL RETURN POINTS WON P2,TOTAL POINTS WON P1,TOTAL POINTS WON P2,DOUBLE FAULTS P1,DOUBLE FAULTS P2,ACES P1,ACES P2,Country P1,Birthday P1,Height P1,Weight P1,Profi since P1,Play P1,Ranking's position P1,Points P1,Prize money P1,Country P2,Birthday P2,Height P2,Weight P2,Profi since P2,Play P2,Ranking's position P2,Points P2,Prize money P2,Country P3,Birthday P3,Height P3,Weight P3,Profi since P3,Play P3,Ranking's position P3,Points P3,Prize money P3,Country P4,Birthday P4,Height P4,Weight P4,Profi since P4,Play P4,Ranking's position P4,Points P4,Prize money P4
19.05.15,q 1,male,Somdev Devvarman,Enzo Couacaud,"6-2, 4-6, 7-5",Paris,Clay,50/101 (50%),46/91 (51%),28/50 (56%),28/46 (61%),34/51 (67%),25/45 (56%),5/10 (50%),3/11 (27%),38/91 (42%),39/101 (39%),100/192 (52%),92/192 (48%),0,4,2,4,India,"13.02.85, 30 years",-,-,-,-,169,298,1.361.798 $,France,"01.03.95, 20 years",-,-,-,-,216,223,42.903 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19.05.15,q 1,male,Filippo Volandri,Austin Krajicek,"7-63, 6-1",Paris,Clay,49/72 (68%),36/65 (55%),36/49 (73%),25/36 (69%),13/23 (57%),11/29 (38%),3/6 (50%),1/5 (20%),29/65 (45%),23/72 (32%),78/137 (57%),59/137 (43%),1,1,2,3,Italy,"05.09.81, 33 years",182 cm,73 kg,1997,Right-handed,217,221,3.868.247 $,USA,"16.06.90, 24 years",185 cm,75 kg,-,Left-handed,118,468,250.230 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30.05.15,3rd round,male,Andy Murray,Nick Kyrgios,"6-4, 6-2, 6-3",Paris,Clay,48/89 (54%),78/102 (76%),36/48 (75%),41/78 (53%),20/41 (49%),10/24 (42%),7/13 (54%),2/10 (20%),51/102 (50%),33/89 (37%),107/191 (56%),84/191 (44%),4,7,12,2,United Kingdom,"15.05.87, 28 years",190 cm,79 kg,2005,Right-handed,3,7040,34.190.085 $,Australia,"27.04.95, 20 years",-,-,-,-,30,1250,763.577 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26.05.15,1st round,male,Marin Cilic,Robin Haase,"6-2, 6-4, 6-2",Paris,Clay,45/70 (64%),59/86 (69%),40/45 (89%),36/59 (61%),15/25 (60%),11/27 (41%),5/6 (83%),0/1 (0%),39/86 (45%),15/70 (21%),94/156 (60%),62/156 (40%),1,2,14,3,Croatia,"28.09.88, 26 years",195 cm,79 kg,2005,Right-handed,10,3370,11.316.754 $,Holland,"06.04.87, 28 years",190 cm,71 kg,2005,Right-handed,80,647,3.090.479 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.05.15,1st round,male,Jamie Murray/John Peers,Thomaz Bellucci/Joao Sousa,"6-76, 6-4, 6-2",Paris,Clay,66/93 (71%),61/96 (64%),47/66 (71%),39/61 (64%),14/27 (52%),17/35 (49%),5/11 (45%),2/5 (40%),40/96 (42%),32/93 (34%),101/189 (53%),88/189 (47%),5,3,9,6,United Kingdom,"13.02.86, 29 years",-,-,-,-,-,-,-,Australia,"25.07.88, 26 years",-,-,-,-,-,-,-,Brazil,"30.12.87, 27 years",189 cm,82 kg,2005,Left-handed,-,-,-,Portugal,"30.03.89, 26 years",-,-,-,-,-,-,-
27.05.15,1st round,male,Andre Begemann/Julian Knowle,Eric Butorac/Samuel Groth,"7-65, 6-4",Paris,Clay,47/74 (64%),49/70 (70%),33/47 (70%),36/49 (73%),17/27 (63%),10/21 (48%),2/5 (40%),1/5 (20%),24/70 (34%),24/74 (32%),74/144 (51%),70/144 (49%),3,2,0,2,Germany,"12.07.84, 30 years",-,-,-,-,-,-,-,Austria,"29.04.74, 41 years",188 cm,75 kg,-,Left-handed,-,-,-,USA,"22.05.81, 34 years",-,-,-,-,-,-,-,Australia,"19.10.87, 27 years",194 cm,85 kg,-,Right-handed,-,-,-
26.05.15,1st round,male,Nicholas Monroe/Artem Sitak,Dustin Brown/Andreas Haider-Maurer,"4-6, 6-4, 6-4",Paris,Clay,78/116 (67%),67/97 (69%),50/78 (64%),50/67 (75%),26/38 (68%),14/30 (47%),2/6 (33%),1/16 (6%),33/97 (34%),40/116 (34%),109/213 (51%),104/213 (49%),,,7,5,USA,"12.04.82, 33 years",-,-,-,-,-,-,-,New Zeland,"08.02.86, 29 years",180 cm,71 kg,-,Right-handed,-,-,-,Germany,"08.12.84, 30 years",187 cm,76 kg,-,Right-handed,-,-,-,Austria,"22.03.87, 28 years",186 cm,83 kg,-,Right-handed,-,-,-
26.05.15,1st round,male,Daniel Gimeno-Traver,Joao Souza,"7-65, 6-4, 6-4",Paris,Clay,82/120 (68%),85/108 (79%),62/82 (76%),52/85 (61%),15/38 (39%),11/23 (48%),4/8 (50%),2/12 (17%),45/108 (42%),43/120 (36%),122/228 (54%),106/228 (46%),4,1,4,0,Spain,"07.08.85, 29 years",185 cm,77 kg,2004,Right-handed,66,746,2.542.123 $,Brazil,"27.05.88, 27 years",-,-,-,-,78,650,785.927 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21.05.15,q 2,male,Matthias Bachinger,Jurgen Zopp,"6-2, 6-4",Paris,Clay,31/49 (63%),29/49 (59%),25/31 (81%),19/29 (66%),12/18 (67%),10/20 (50%),-,-,20/49 (41%),12/49 (24%),57/98 (58%),41/98 (42%),1,0,3,0,Germany,"02.04.87, 28 years",187 cm,83 kg,2005,Right-handed,124,431,1.007.169 $,Estonia,"29.03.88, 27 years",-,-,-,-,141,376,587.395 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28.05.15,2nd round,male,Andrey Kuznetsov,Jurgen Melzer,"6-1, 5-7, 7-60, 7-5",Paris,Clay,73/127 (57%),89/145 (61%),55/73 (75%),55/89 (62%),29/54 (54%),27/56 (48%),7/14 (50%),4/8 (50%),63/145 (43%),43/127 (34%),147/272 (54%),125/272 (46%),6,7,4,4,Russia,"22.02.91, 24 years",-,-,-,-,120,465,1.019.119 $,Austria,"22.05.81, 34 years",182 cm,75 kg,1999,Left-handed,110,480,9.376.494 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
